season,region,satellite,observation_count,ndvi_june,ndvi_july,ndvi_aug,ndvi_sep,ndvi_oct,ndvi_nov,ndvi_dec,ndvi_mean,ndvi_max,ndvi_cumulative,rainfall_june,rainfall_july,rainfall_aug,rainfall_sep,rainfall_oct,rainfall_nov,rainfall_dec,temp_june,temp_july,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,rainfall_total,temp_mean
2008,NORD,landsat7,5,,,,,0.4599275568272084,0.4319444712374762,0.447251765883253,0.4436640062137334,0.4784997046204776,2.218320031068667,168.93,100.65,68.3,170.53,34.52,91.74,5.93,21.277,20.446,20.885,21.654,22.794,24.558,25.676,640.6,22.47
2008,SUD,landsat7,5,,,,,0.423733629760008,0.4464068568598738,0.4976088199133459,0.4623529966612894,0.5440937129001171,2.311764983306447,173.24,114.78,104.58,195.62,41.27,139.58,94.65,21.185,20.356,20.792,21.628,22.815,24.562,25.616,863.7,22.422
2008,EST,landsat7,5,,,,,0.4473343802935973,0.4407832283092107,0.5213709664944544,0.4743285539801855,0.5651347557272132,2.3716427699009275,238.99,135.78,103.21,296.04,41.49,107.38,91.93,21.146,20.299,20.736,21.547,22.668,24.454,25.497,1014.8,22.335
2008,OUEST,landsat7,5,,,,,0.3796001656812993,0.3932438535266579,0.4107436950660863,0.3975150525733575,0.4417171324154085,1.987575262866788,183.28,112.12,101.8,210.43,41.5,87.77,119.46,19.787,19.026,19.651,20.501,21.805,23.564,24.71,856.4,21.292
2008,CENTRE,landsat7,5,,,,,0.4985091443259957,0.4858511594943426,0.5281025239653316,0.5052833022490689,0.5695897766719099,2.5264165112453445,223.05,123.2,101.3,221.24,40.38,102.22,84.3,20.298,19.477,20.009,20.843,22.053,23.863,24.941,895.7,21.641
2009,NORD,landsat7,6,0.758006754599363,,,0.4923448823142282,0.4666976648049286,0.4874497841579248,,0.5264410891398831,0.758006754599363,3.1586465348392982,92.99,88.3,93.98,51.3,104.27,172.3,143.12,22.338,21.211,20.926,21.649,22.8,23.949,25.69,746.3,22.652
2009,SUD,landsat7,6,0.6958977892666404,,,0.4636525845621046,0.4300256187305945,0.4743330636559222,,0.494711289766963,0.6958977892666404,2.9682677386017784,89.62,98.39,142.36,72.04,151.61,177.36,188.73,22.253,21.107,20.842,21.604,22.845,23.906,25.683,920.1,22.606
2009,EST,landsat7,6,0.7303042121140336,,,0.4603249871003788,0.4260508726144241,0.4634432155119206,,0.4949362292445169,0.7303042121140336,2.969617375467102,125.8,119.5,142.06,89.05,140.64,208.24,173.73,22.168,21.07,20.784,21.515,22.717,23.836,25.545,999.0,22.519
2009,OUEST,landsat7,6,0.7310011037682,,,0.3609699530916998,0.3090559131095466,0.4163214425454678,,0.4237876280283214,0.7310011037682,2.5427257681699285,98.7,93.98,140.46,89.47,146.46,166.99,169.72,21.059,19.691,19.511,20.403,21.779,22.913,24.854,905.8,21.459
2009,CENTRE,landsat7,6,0.6831505428456837,,,0.4784982615614546,0.4903341149688069,0.5035138193531492,,0.5248907788418418,0.6831505428456837,3.1493446730510506,111.6,105.11,138.13,83.03,141.59,192.03,180.67,21.4,20.21,19.983,20.769,22.08,23.224,25.021,952.2,21.812
2010,NORD,landsat7,2,,,,,,,0.3979904379182033,0.3979904379182033,0.3980976104152201,0.7959808758364066,68.93,128.05,76.82,46.74,26.85,59.88,21.46,22.859,21.256,21.075,21.694,23.143,23.799,25.176,428.7,22.715
2010,SUD,landsat7,2,,,,,,,0.3902902369247145,0.3902902369247145,0.3939772537353502,0.7805804738494291,69.18,138.67,113.25,66.44,32.91,61.3,31.12,22.805,21.097,21.026,21.738,23.149,23.806,25.313,512.9,22.705
2010,EST,landsat7,2,,,,,,,0.4027844073105027,0.4027844073105027,0.4050377911444629,0.8055688146210054,95.74,163.39,112.57,81.92,32.53,69.85,26.63,22.733,21.092,20.945,21.599,23.023,23.674,25.109,582.6,22.596
2010,OUEST,landsat7,2,,,,,,,0.3447790451950527,0.3447790451950527,0.3661626885467955,0.6895580903901055,77.44,134.91,113.43,84.48,32.67,63.12,26.22,21.554,19.76,19.6,20.443,22.322,22.717,24.412,532.3,21.544
2010,CENTRE,landsat7,2,,,,,,,0.4906486416694595,0.4906486416694595,0.501585526059353,0.9812972833389192,83.8,149.42,108.19,76.08,32.07,68.95,27.86,21.964,20.237,20.085,20.838,22.495,23.027,24.591,546.4,21.891
2011,NORD,landsat7,9,,,0.4613537410992673,0.4829553017771797,0.4075334091310693,0.3341467827875761,0.3680163052338767,0.4027839753645287,0.5735816224075483,3.625055778280759,130.7,95.63,92.75,38.25,31.07,45.87,174.12,22.876,21.646,20.946,21.659,22.809,24.639,25.134,608.4,22.816
2011,SUD,landsat7,9,,,0.4845368269451158,0.5133308754761943,0.4455464606827939,0.4001708320702816,0.4254848816042251,0.4472009864534475,0.5550767744760788,4.024808878081028,141.22,102.72,134.67,51.26,44.36,57.08,271.92,22.747,21.596,20.93,21.606,22.82,24.747,25.067,803.2,22.788
2011,EST,landsat7,9,,,0.4360798545409539,0.3950207169095049,0.394566928330436,0.4010664225712652,0.423681181981464,0.4117566101953047,0.4914132422932422,3.705809491757743,190.71,124.85,135.24,60.37,38.59,57.82,265.83,22.688,21.538,20.802,21.506,22.735,24.573,24.952,873.4,22.685
